   2967 
     75 IPR001680	WD40 repeat
      2 IPR000999	Ribonuclease III domain
      2 IPR000819	Peptidase M17, leucyl aminopeptidase, C-terminal
      2 IPR000643	Iodothyronine deiodinase
      2 IPR000640	Elongation factor EFG, domain V-like
      2 IPR000639	Epoxide hydrolase-like
      2 IPR000557	Calponin repeat
      2 IPR000387	Tyrosine specific protein phosphatases domain
      2 IPR000306	FYVE zinc finger
      2 IPR000182	GNAT domain
      2 IPR000156	Ran binding domain
      2 IPR000086	NUDIX hydrolase domain
      2 IPR000047	Helix-turn-helix motif
      1 IPR044123	Translation initiation factor eIF-2B subunit epsilon, W2 domain
      1 IPR044110	RNF146, RING finger, HC subclass
      1 IPR043596	CFAP53/TCHP
      1 IPR043544	Sorting nexin-10/11
      1 IPR043502	DNA/RNA polymerase superfamily
      1 IPR043384	Reticulophagy receptor 1/3
      1 IPR043197	Plakin
      1 IPR043162	Dedicator of cytokinesis, C-terminal, lobe C
      1 IPR043160	Dynein heavy chain, C-terminal domain, barrel region
      1 IPR043136	B30.2/SPRY domain superfamily
      1 IPR043129	ATPase, nucleotide binding domain
      1 IPR043127	Sec1-like, domain 3a
      1 IPR042990	StAR-related lipid transfer protein 9
      1 IPR042982	Homeobox protein GBX-1/2
      1 IPR042534	Sin3 associated polypeptide p18 superfamily
      1 IPR042350	All-trans retinoic acid-induced differentiation factor
      1 IPR042241	Gamma-tubulin complex, C-terminal domain superfamily
      1 IPR042236	Phosphoinositide 3-kinase, accessory (PIK) domain superfamily
      1 IPR042226	eRF1, domain 2 superfamily
      1 IPR042219	Dynein heavy chain AAA lid domain superfamily
      1 IPR042216	Iron sulphur domain-containing, mitoNEET, C-terminal
      1 IPR042099	AMP-dependent synthetase-like superfamily
      1 IPR042044	Exocyst complex component EXOC6/Sec15, C-terminal, domain 2
      1 IPR041862	Endoplasmic reticulum resident protein 44, TRX-like domain b'
      1 IPR041681	Pleckstrin homology domain 9
      1 IPR041658	Dynein heavy chain AAA lid domain
      1 IPR041637	Caprin-1 dimerization domain
      1 IPR041507	Peptidase C12, C-terminal domain
      1 IPR041489	PDZ domain 6
      1 IPR041476	TRAF3-interacting protein 1, C-terminal domain
      1 IPR041466	Dynein heavy chain, AAA 5 extension domain
      1 IPR041373	Reverse transcriptase, RNase H-like domain
      1 IPR041228	Dynein heavy chain, C-terminal domain
      1 IPR041087	TANK binding kinase 1, ubiquitin-like domain
      1 IPR041048	RuvB-like, AAA-lid domain
      1 IPR041020	ARHGEF1-like, PH domain
      1 IPR040930	AF-9, ANC1 homology domain
      1 IPR040608	Snf8/Vps36 family
      1 IPR040457	Gamma tubulin complex component, C-terminal
      1 IPR040370	Coiled-coil domain-containing protein 74A/74B/92
      1 IPR040234	Glutaminyl-peptide cyclotransferase-like
      1 IPR040223	PAR basic leucine zipper protein
      1 IPR040213	GIR2-like
      1 IPR040177	Zinc transporter 9
      1 IPR040139	Cell growth regulator with EF hand domain protein 1
      1 IPR040122	Importin beta family
      1 IPR040099	Zinc finger ZZ-type and EF-hand domain-containing protein 1
      1 IPR040079	Glutathione Transferase family
      1 IPR040051	Selenocysteine insertion sequence-binding protein 2
      1 IPR040049	28S ribosomal protein S25, mitochondrial
      1 IPR039919	Rho guanine nucleotide exchange factor 10/17
      1 IPR039918	Serine/threonine-protein phosphatase 4 regulatory subunit 4
      1 IPR039917	Rho guanine nucleotide exchange factor 17
      1 IPR039808	Cadherin
      1 IPR039778	Programmed cell death protein 4
      1 IPR039774	Transcriptional regulatory protein Sin3-like
      1 IPR039757	Eukaryotic translation initiation factor 2D
      1 IPR039727	SERRATE/Ars2
      1 IPR039726	Pre-mRNA-processing factor Prp40
      1 IPR039718	Ribonucleoside-diphosphate reductase large subunit
      1 IPR039676	Acyloxyacyl hydrolase
      1 IPR039497	CCDC144C-like, coiled-coil domain
      1 IPR039253	Aprataxin and PNK-like factor
      1 IPR039241	Ribosomal RNA-processing protein Rrp9-like
      1 IPR039187	Strawberry notch, AAA domain
      1 IPR039170	5'-AMP-activated protein kinase subunit gamma-2
      1 IPR039165	CREB3 regulatory factor
      1 IPR039146	G patch domain and ankyrin repeat-containing protein 1
      1 IPR039031	Mucolipin
      1 IPR039030	Calmodulin
      1 IPR039006	Rho GTPase-activating protein, pG2 domain
      1 IPR038830	Coiled-coil domain-containing protein 186
      1 IPR038775	Testis-expressed protein 49
      1 IPR038718	SNF2-like, N-terminal domain superfamily
      1 IPR038716	Ribosomal protein P1/P2, N-terminal domain
      1 IPR038593	RNA polymerase Rpb1, domain 7 superfamily
      1 IPR038577	GT10-like superfamily
      1 IPR038524	Ribosomal protein L7A/L8 superfamily
      1 IPR038499	BRO1 domain superfamily
      1 IPR038377	Sodium/glucose symporter superfamily
      1 IPR038324	Rpb4/RPC9 superfamily
      1 IPR038322	Pex19, C-terminal domain superfamily
      1 IPR038299	Alpha-glycerophosphate oxidase, C-terminal domain superfamily
      1 IPR038286	Inositol polyphosphate kinase superfamily
      1 IPR038227	PCGF Ub-like fold discriminator superfamily
      1 IPR038095	Costars domain superfamily
      1 IPR037969	Transcriptional regulatory protein Sin3a
      1 IPR037942	RuvB-like helicase 2
      1 IPR037855	Vacuolar protein sorting protein 36
      1 IPR037634	Protein Smaug, SAM domain
      1 IPR037626	Nucleoporin Nup37
      1 IPR037545	Tripartite DENN domain, FNIP1/2-type
      1 IPR037457	M28 Zn-Peptidase Glutaminyl Cyclase
      1 IPR037438	Talin-1/2, rod-segment
      1 IPR037364	Protein transport protein Sec23
      1 IPR037352	Polycomb protein EED
      1 IPR037272	Sodium:neurotransmitter symporter superfamily
      1 IPR037239	Oxysterol-binding protein superfamily
      1 IPR037191	VPS9 domain superfamily
      1 IPR037171	NagB/RpiA transferase-like
      1 IPR037152	L-asparaginase, N-terminal domain superfamily
      1 IPR037060	Catalase core domain superfamily
      1 IPR037033	DNA-directed RNA polymerase, subunit 2, hybrid-binding domain superfamily
      1 IPR036987	SRA-YDG superfamily
      1 IPR036964	Ras guanine-nucleotide exchange factor catalytic domain superfamily
      1 IPR036961	Kinesin motor domain superfamily
      1 IPR036939	Copper type II, ascorbate-dependent monooxygenase, N-terminal domain superfamily
      1 IPR036603	RNA polymerase, RBP11-like subunit
      1 IPR036599	DNA ligase, ATP-dependent, N-terminal domain superfamily
      1 IPR036514	SGNH hydrolase superfamily
      1 IPR036443	Zinc finger, RanBP2-type superfamily
      1 IPR036438	Insulin-like superfamily
      1 IPR036397	Ribonuclease H superfamily
      1 IPR036392	PLAT/LH2 domain superfamily
      1 IPR036352	Sema domain superfamily
      1 IPR036351	Ribosomal protein L32e superfamily
      1 IPR036345	Exoribonuclease, PH domain 2 superfamily
      1 IPR036250	Acyl-CoA dehydrogenase-like, C-terminal
      1 IPR036168	AP-2 complex subunit mu, C-terminal superfamily
      1 IPR036161	RPB6/omega subunit-like superfamily
      1 IPR036152	Asparaginase/glutaminase-like superfamily
      1 IPR036126	Tubulin binding cofactor A superfamily
      1 IPR036096	Ataxin, AXH domain superfamily
      1 IPR036070	Nop domain superfamily
      1 IPR036045	Sec1-like superfamily
      1 IPR036026	Seven-hairpin glycosidases
      1 IPR035983	HECT, E3 ligase catalytic domain
      1 IPR035966	Phosphofructokinase superfamily
      1 IPR035963	FERM superfamily, second domain
      1 IPR035655	116kDa U5 small nuclear ribonucleoprotein component, C-terminal
      1 IPR035647	EF-G domain III/V-like
      1 IPR035269	26S Proteasome non-ATPase regulatory subunit 9
      1 IPR035261	26S proteasome regulatory subunit 8
      1 IPR035140	Proteasome subunit beta 6
      1 IPR034905	Sorting nexin-25
      1 IPR034893	Serine/arginine-rich splicing factor 2-like
      1 IPR034772	CPSF6/7 family
      1 IPR034769	Cleavage and polyadenylation specificity factor subunit 6
      1 IPR034078	Transcription factor NFX1 family
      1 IPR034016	Aminopeptidase N-type
      1 IPR033771	Rrp44-like cold shock domain
      1 IPR033720	Elongation factor Tu, domain 2
      1 IPR033509	E3 ubiquitin-protein ligase RNF146
      1 IPR033468	Metaxin, glutathione S-transferase domain
      1 IPR033365	Cilia- and flagella-associated protein 53
      1 IPR033227	Calcium-dependent secretion activator
      1 IPR033139	Peptidase family C14A, cysteine active site
      1 IPR033085	Protein ERGIC-53
      1 IPR032922	Protein SON
      1 IPR032913	Beclin-1
      1 IPR032781	ABC-transporter extension domain
      1 IPR032466	Metal-dependent hydrolase
      1 IPR032458	Histone H2A conserved site
      1 IPR032454	Histone H2A, C-terminal domain
      1 IPR032452	Sodium/calcium exchanger domain, C-terminal extension
      1 IPR032440	40S ribosomal protein S11, N-terminal
      1 IPR032387	Acetyl-coenzyme A synthetase, N-terminal domain
      1 IPR032365	BCL-6 corepressor, PCGF1 binding domain
      1 IPR031941	Domain of unknown function DUF4773
      1 IPR031778	Sortilin, N-terminal
      1 IPR031775	cGMP-dependent protein kinase, interacting domain
      1 IPR031693	Sin3, C-terminal
      1 IPR031657	Replication protein A, OB domain
      1 IPR031656	Alpha-glycerophosphate oxidase, C-terminal
      1 IPR031328	Ephrin
      1 IPR031318	OPI10 family
      1 IPR031253	Homeobox protein unplugged
      1 IPR031226	Probable ubiquitin carboxyl-terminal hydrolase FAF-X
      1 IPR031148	Plexin family
      1 IPR031127	E3 ubiquitin ligase RBR family
      1 IPR031121	KH domain containing protein RIK/BLOM7
      1 IPR031083	3'-5' RNA helicase YTHDC2-like
      1 IPR030555	Huntingtin-interacting protein 1-related protein
      1 IPR030511	Tetratricopeptide repeat protein 26
      1 IPR030456	Fork head domain conserved site 2
      1 IPR030381	Dynamin-type guanine nucleotide-binding (G) domain
      1 IPR030369	ATP-binding cassette subfamily A member 7
      1 IPR030365	ATP-binding cassette subfamily A member 1
      1 IPR030359	Probable phospholipid-transporting ATPase VB
      1 IPR030336	Calcium-transporting ATPase type 2C member 1
      1 IPR029614	Cat eye syndrome critical region protein 2
      1 IPR029446	Coatomer beta subunit, appendage platform domain
      1 IPR029422	Coiled coil protein 74, C-terminal
      1 IPR029318	Beclin-1, BH3 domain
      1 IPR029130	Acid ceramidase, N-terminal
      1 IPR029061	Thiamin diphosphate-binding fold
      1 IPR029045	ClpP/crotonase-like domain superfamily
      1 IPR029041	FAD-linked oxidoreductase-like
      1 IPR029030	Caspase-like domain superfamily
      1 IPR029012	Helix hairpin bin domain superfamily
      1 IPR028933	Lebercilin domain
      1 IPR028920	Tox-ART-HYD1 domain
      1 IPR028889	Ubiquitin specific protease domain
      1 IPR028883	tRNA-specific adenosine deaminase
      1 IPR028846	Recoverin family
      1 IPR028816	Caprin
      1 IPR028570	Rho GDP/GTP exchange factor Kalirin/TRIO
      1 IPR028433	Parvin
      1 IPR028363	DNA-directed RNA polymerase, subunit  RPB6
      1 IPR028361	GPI-anchor transamidase
      1 IPR028333	Ribosomal protein S17, archaeal/eukaryotic
      1 IPR028085	Folliculin-interacting protein, middle domain
      1 IPR028064	Transmembrane protein 154
      1 IPR027873	Protein PAXX
      1 IPR027681	I-BAR domain containing protein IRSp53/IRTKS/Pinkbar
      1 IPR027652	Pre-mRNA-processing-splicing factor 8
      1 IPR027534	Ribosomal protein L12/P1/P2 family
      1 IPR027475	Asparaginase/glutaminase, active site 2
      1 IPR027474	L-asparaginase, N-terminal
      1 IPR027443	Isopenicillin N synthase-like
      1 IPR027410	TCP-1-like chaperonin intermediate domain superfamily
      1 IPR027408	PNPase/RNase PH domain superfamily
      1 IPR027359	Voltage-dependent channel domain superfamily
      1 IPR027357	DHR-2 domain
      1 IPR027238	RuvB-like
      1 IPR027231	Semaphorin
      1 IPR027157	Nuclear cap-binding protein subunit 2
      1 IPR027110	Pyruvate dehydrogenase E1 component subunit beta
      1 IPR027059	Coatomer delta subunit
      1 IPR026983	Dynein heavy chain
      1 IPR026919	Adhesion G-protein coupled receptor V1
      1 IPR026849	Autophagy-related protein 2
      1 IPR026791	Dedicator of cytokinesis
      1 IPR026741	Protein strawberry notch
      1 IPR026669	Arsenite methyltransferase-like
      1 IPR026532	Ribosome biogenesis protein BRX1
      1 IPR026188	Lebercilin-like
      1 IPR026122	Helicase MOV-10
      1 IPR026111	Actin-binding Rho-activating protein
      1 IPR025995	RNA binding activity-knot of a chromodomain
      1 IPR025755	60S ribosomal protein L4, C-terminal domain
      1 IPR025202	Phospholipase D-like domain
      1 IPR024989	Major facilitator superfamily associated domain
      1 IPR024977	Anaphase-promoting complex subunit 4, WD40 domain
      1 IPR024936	Cyclophilin-type peptidyl-prolyl cis-trans isomerase
      1 IPR024874	Transcription factor Maf family
      1 IPR024862	Transient receptor potential cation channel subfamily V
      1 IPR024810	Mab-21 domain
      1 IPR024766	Zinc finger, RING-H2-type
      1 IPR024607	Sulfatase, conserved site
      1 IPR024034	ATPase, F1/V1 complex, beta/alpha subunit, C-terminal
      1 IPR023578	Ras guanine nucleotide exchange factor domain superfamily
      1 IPR023486	Transcription factor TFIIB, conserved site
      1 IPR023333	Proteasome B-type subunit
      1 IPR023329	Chlorophyll a/b binding domain superfamily
      1 IPR023313	Ubiquitin-conjugating enzyme, active site
      1 IPR023029	Ribosomal protein S15P
      1 IPR022878	V-type ATP synthase catalytic alpha chain
      1 IPR022796	Chlorophyll A-B binding protein
      1 IPR022557	Domain of unknown function DUF3480
      1 IPR022353	Insulin, conserved site
      1 IPR022162	Short transient receptor potential channel 4-associated protein
      1 IPR021905	Domain of unknown function DUF3517
      1 IPR021850	Symplekin/Pta1
      1 IPR021063	NF-kappa-B essential modulator NEMO, N-terminal
      1 IPR020946	Flavin monooxygenase-like
      1 IPR020892	Cyclophilin-type peptidyl-prolyl cis-trans isomerase, conserved site
      1 IPR020859	Roc domain
      1 IPR020829	Glyceraldehyde 3-phosphate dehydrogenase, catalytic domain
      1 IPR020717	Apoptosis regulator, Bcl-2, BH1 motif, conserved site
      1 IPR020708	DNA-directed RNA polymerase, 14-18kDa subunit, conserved site
      1 IPR020604	CTF transcription factor/nuclear factor 1, DNA-binding domain
      1 IPR020550	Inositol monophosphatase, conserved site
      1 IPR020396	NADH:ubiquinone oxidoreductase, 30kDa subunit, conserved site
      1 IPR020003	ATPase, alpha/beta subunit, nucleotide-binding domain, active site
      1 IPR019979	Ribosomal protein S17, conserved site
      1 IPR019821	Kinesin motor domain, conserved site
      1 IPR019786	Zinc finger, PHD-type, conserved site
      1 IPR019762	Dynamin, GTPase region, conserved site
      1 IPR019610	Iron sulphur domain-containing, mitoNEET, N-terminal
      1 IPR019582	RNA recognition motif, spliceosomal PrP8
      1 IPR019474	Ubiquitin conjugation factor E4, core
      1 IPR019355	Cell cycle regulator Mat89Bb
      1 IPR019308	Transmembrane protein 214
      1 IPR019144	Membralin
      1 IPR018957	Zinc finger, C3HC4 RING-type
      1 IPR018799	TRAF3-interacting protein 1
      1 IPR018499	Tetraspanin/Peripherin
      1 IPR018497	Peptidase M13, C-terminal domain
      1 IPR018363	CD59 antigen, conserved site
      1 IPR018359	Bromodomain, conserved site
      1 IPR018263	Ribosomal protein L32e, conserved site
      1 IPR018253	DnaJ domain, conserved site
      1 IPR018244	Allergen V5/Tpx-1-related, conserved site
      1 IPR018212	Sodium/solute symporter, conserved site
      1 IPR018098	Ribosomal S24e conserved site
      1 IPR017972	Cytochrome P450, conserved site
      1 IPR017855	SMAD-like domain superfamily
      1 IPR017455	Zinc finger, FYVE-related
      1 IPR017390	Ubiquitinyl hydrolase, UCH37 type
      1 IPR016460	Coatomer beta subunit (COPB1)
      1 IPR016197	Chromo-like domain superfamily
      1 IPR016193	Cytidine deaminase-like
      1 IPR016187	C-type lectin fold
      1 IPR016186	C-type lectin-like/link domain superfamily
      1 IPR016181	Acyl-CoA N-acyltransferase
      1 IPR016159	Cullin repeat-like-containing domain superfamily
      1 IPR016157	Cullin, conserved site
      1 IPR016067	S-adenosylmethionine decarboxylase, core
      1 IPR016050	Proteasome beta-type subunit, conserved site
      1 IPR016036	Malonyl-CoA ACP transacylase, ACP-binding
      1 IPR016035	Acyl transferase/acyl hydrolase/lysophospholipase
      1 IPR015912	Phosphofructokinase, conserved site
      1 IPR015894	Guanylate-binding protein, N-terminal
      1 IPR015847	Exoribonuclease, phosphorolytic domain 2
      1 IPR015797	NUDIX hydrolase-like domain superfamily
      1 IPR015789	Twist-related
      1 IPR015727	Protein kinase C mu-related
      1 IPR015712	DNA-directed RNA polymerase, subunit 2
      1 IPR015659	Proline oxidase family
      1 IPR015655	Protein phosphatase 2C family
      1 IPR015353	Rubisco LSMT, substrate-binding domain
      1 IPR015009	Vinculin-binding site-containing domain
      1 IPR014721	Ribosomal protein S5 domain 2-type fold, subgroup
      1 IPR014720	Double-stranded RNA-binding domain
      1 IPR014352	FERM/acyl-CoA-binding protein superfamily
      1 IPR014014	RNA helicase, DEAD-box type, Q motif
      1 IPR014010	REJ domain
      1 IPR013947	Mediator complex, subunit Med14
      1 IPR013790	Dwarfin
      1 IPR013769	Band 3 cytoplasmic domain
      1 IPR013762	Integrase-like, catalytic domain superfamily
      1 IPR013713	Exportin-2, central domain
      1 IPR013606	IMD/I-BAR domain
      1 IPR013598	Exportin-1/Importin-beta-like
      1 IPR013548	Plexin, cytoplasmic RasGAP domain
      1 IPR013258	Striatin, N-terminal
      1 IPR013233	Glycosylphosphatidylinositol-mannosyltransferase I, PIG-X/PBN1
      1 IPR013154	Alcohol dehydrogenase, N-terminal
      1 IPR013150	Transcription factor TFIIB, cyclin-like domain
      1 IPR013120	Fatty acyl-coenzyme A reductase, NAD-binding domain
      1 IPR013096	Cupin 2, conserved barrel
      1 IPR013088	Zinc finger, NHR/GATA-type
      1 IPR013019	MAD homology, MH1
      1 IPR013000	Ribosomal protein L4/L1e, eukaryotic/archaeal, conserved site
      1 IPR012990	Sec23/Sec24 beta-sandwich
      1 IPR012976	NOSIC
      1 IPR012955	CASP, C-terminal
      1 IPR012716	T-complex protein 1, beta subunit
      1 IPR012678	Ribosomal protein L23/L15e core domain superfamily
      1 IPR012388	CDK5 and ABL1 enzyme substrate 1/2
      1 IPR012341	Six-hairpin glycosidase-like superfamily
      1 IPR012308	DNA ligase, ATP-dependent, N-terminal
      1 IPR012295	TBP domain superfamily
      1 IPR012293	RNA polymerase subunit, RPB6/omega
      1 IPR012292	Globin/Protoglobin
      1 IPR011765	Peptidase M16, N-terminal
      1 IPR011704	ATPase, dynein-related, AAA domain
      1 IPR011645	Haem NO binding associated
      1 IPR011545	DEAD/DEAH box helicase domain
      1 IPR011333	SKP1/BTB/POZ domain superfamily
      1 IPR011262	DNA-directed RNA polymerase, insert domain
      1 IPR011106	Seven cysteines, N-terminal
      1 IPR011044	Quinoprotein amine dehydrogenase, beta chain-like
      1 IPR011032	GroES-like superfamily
      1 IPR011010	DNA breaking-rejoining enzyme, catalytic core
      1 IPR010997	HRDC-like superfamily
      1 IPR010703	Dedicator of cytokinesis, C-terminal
      1 IPR010527	Photosystem II PsbU, oxygen evolving complex
      1 IPR009535	Phospholipase C-beta, conserved site
      1 IPR009075	Acyl-CoA dehydrogenase/oxidase C-terminal
      1 IPR009068	S15/NS1, RNA-binding
      1 IPR009050	Globin-like superfamily
      1 IPR009028	Coatomer/calthrin adaptor appendage, C-terminal subdomain
      1 IPR009011	Mannose-6-phosphate receptor binding domain superfamily
      1 IPR008984	SMAD/FHA domain superfamily
      1 IPR008977	PHM/PNGase F domain superfamily
      1 IPR008971	HSP40/DnaJ peptide-binding
      1 IPR008917	Transcription factor, Skn-1-like, DNA-binding domain superfamily
      1 IPR008775	Phytanoyl-CoA dioxygenase
      1 IPR008734	Phosphorylase kinase alpha/beta subunit
      1 IPR008493	Domain of unknown function DUF775
      1 IPR008261	Iodothyronine deiodinase, active site
      1 IPR007863	Peptidase M16, C-terminal
      1 IPR007325	Kynurenine formamidase/cyclase-like
      1 IPR007259	Gamma-tubulin complex component protein
      1 IPR007243	Atg6/Beclin
      1 IPR007125	Histone H2A/H2B/H3
      1 IPR007120	DNA-directed RNA polymerase, subunit 2, hybrid-binding domain
      1 IPR007081	RNA polymerase Rpb1, domain 5
      1 IPR007075	RNA polymerase Rpb1, domain 6
      1 IPR007074	LicD family
      1 IPR007073	RNA polymerase Rpb1, domain 7
      1 IPR007042	SERRATE/Ars2 , C-terminal
      1 IPR006896	Sec23/Sec24, trunk domain
      1 IPR006694	Fatty acid hydroxylase
      1 IPR006639	Presenilin/signal peptide peptidase
      1 IPR006602	Uncharacterised domain DM10
      1 IPR006590	RNA polymerase Rpb4/RPC9, core
      1 IPR006573	Neuralized homology repeat (NHR) domain
      1 IPR006548	Splicing factor ELAV/Hu
      1 IPR006539	P-type ATPase, subfamily IV
      1 IPR006535	HnRNP R/Q splicing factor
      1 IPR006068	Cation-transporting P-type ATPase, C-terminal
      1 IPR006020	PTB/PI domain
      1 IPR005835	Nucleotidyl transferase domain
      1 IPR005804	Fatty acid desaturase domain
      1 IPR005574	RNA polymerase subunit RPB4/RPC9
      1 IPR005542	PBX
      1 IPR005517	Translation elongation factor EFG/EF2, domain IV
      1 IPR005142	eRF1 domain 3
      1 IPR005141	eRF1 domain 2
      1 IPR005140	eRF1 domain 1/Pelota-like
      1 IPR005123	Oxoglutarate/iron-dependent dioxygenase
      1 IPR005052	Legume-like lectin
      1 IPR005024	Snf7 family
      1 IPR004837	Sodium/calcium exchanger membrane region
      1 IPR004835	Chitin synthase
      1 IPR004826	Basic leucine zipper domain, Maf-type
      1 IPR004821	Cytidyltransferase-like domain
      1 IPR004680	Citrate transporter-like domain
      1 IPR004531	Phenylalanyl-tRNA synthetase, class IIc, beta subunit, archae/euk cytosolic
      1 IPR004481	Sodium/potassium/calcium exchanger
      1 IPR004302	Cellulose/chitin-binding protein, N-terminal
      1 IPR004273	Dynein heavy chain region D6 P-loop domain
      1 IPR004161	Translation elongation factor EFTu-like, domain 2
      1 IPR004088	K Homology domain, type 1
      1 IPR004087	K Homology domain
      1 IPR004038	Ribosomal protein L7Ae/L30e/S12e/Gadd45
      1 IPR004037	Ribosomal protein L7Ae conserved site
      1 IPR003960	ATPase, AAA-type, conserved site
      1 IPR003903	Ubiquitin interacting motif
      1 IPR003619	MAD homology 1, Dwarfin-type
      1 IPR003609	PAN/Apple domain
      1 IPR003593	AAA+ ATPase domain
      1 IPR003578	Small GTPase Rho
      1 IPR003392	Protein patched/dispatched
      1 IPR003379	Carboxylase, conserved domain
      1 IPR003325	TerD domain
      1 IPR003164	Clathrin adaptor, alpha-adaptin, appendage, C-terminal subdomain
      1 IPR003020	Bicarbonate transporter, eukaryotic
      1 IPR002939	Chaperone DnaJ, C-terminal
      1 IPR002872	Proline dehydrogenase domain
      1 IPR002870	Peptidase M12B, propeptide
      1 IPR002867	IBR domain
      1 IPR002816	TraB family
      1 IPR002713	FF domain
      1 IPR002687	Nop domain
      1 IPR002569	Peptide methionine sulphoxide reductase MsrA
      1 IPR002398	Peptidase C14 family
      1 IPR002300	Aminoacyl-tRNA synthetase, class Ia
      1 IPR002227	Tyrosinase copper-binding domain
      1 IPR002157	Cobalamin (vitamin B12)-binding protein
      1 IPR002138	Peptidase C14, caspase non-catalytic subunit p10
      1 IPR002136	Ribosomal protein L4/L1e
      1 IPR002125	Cytidine and deoxycytidylate deaminase domain
      1 IPR002104	Integrase, catalytic domain
      1 IPR002018	Carboxylesterase, type B
      1 IPR001969	Aspartic peptidase, active site
      1 IPR001965	Zinc finger, PHD-type
      1 IPR001863	Glypican
      1 IPR001837	Adenylate cyclase-associated CAP
      1 IPR001753	Enoyl-CoA hydratase/isomerase
      1 IPR001514	DNA-directed RNA polymerase, 30-40kDa subunit, conserved site
      1 IPR001496	SOCS box domain
      1 IPR001433	Oxidoreductase FAD/NAD(P)-binding
      1 IPR001412	Aminoacyl-tRNA synthetase, class I, conserved site
      1 IPR001394	Peptidase C19, ubiquitin carboxyl-terminal hydrolase
      1 IPR001353	Proteasome, subunit alpha/beta
      1 IPR001309	Peptidase C14,  p20 domain
      1 IPR001298	Filamin/ABP280 repeat
      1 IPR001268	NADH:ubiquinone oxidoreductase, 30kDa subunit
      1 IPR001247	Exoribonuclease, phosphorolytic domain 1
      1 IPR001227	Acyl transferase domain superfamily
      1 IPR001223	Glycoside hydrolase family 18, catalytic domain
      1 IPR001190	SRCR domain
      1 IPR001130	TatD family
      1 IPR001096	Peptidase C13, legumain
      1 IPR000994	Peptidase M24
      1 IPR000953	Chromo/chromo shadow domain
      1 IPR000917	Sulfatase, N-terminal
      1 IPR000873	AMP-dependent synthetase/ligase
      1 IPR000863	Sulfotransferase domain
      1 IPR000834	Peptidase M14, carboxypeptidase A
      1 IPR000801	Putative esterase
      1 IPR000788	Ribonucleotide reductase large subunit, C-terminal
      1 IPR000647	CTF transcription factor/nuclear factor 1
      1 IPR000629	ATP-dependent RNA helicase DEAD-box, conserved site
      1 IPR000571	Zinc finger, CCCH-type
      1 IPR000477	Reverse transcriptase domain
      1 IPR000447	FAD-dependent glycerol-3-phosphate dehydrogenase
      1 IPR000403	Phosphatidylinositol 3-/4-kinase, catalytic domain
      1 IPR000357	HEAT repeat
      1 IPR000330	SNF2-related, N-terminal domain
      1 IPR000323	Copper type II, ascorbate-dependent monooxygenase, N-terminal
      1 IPR000299	FERM domain
      1 IPR000210	BTB/POZ domain
      1 IPR000194	ATPase, F1/V1/A1 complex, alpha/beta subunit, nucleotide-binding domain
      1 IPR000101	Gamma-glutamyltranspeptidase
      1 IPR000073	Alpha/beta hydrolase fold-1
      1 IPR000023	Phosphofructokinase domain
